route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
ILLINI,I1 UI MTH,[@6.0.28930998@][2][1654023658965]/79__I1_UI_MTH,PAR,1,I1 UI MTH,22S ILLINI 20
SILVER EVENING SUNDAY,SV1 UISU,[@124.0.92286725@][1484347296458]/95__SV1_UISU,Lincoln Square,0,SV1 UISU,[@124.0.92286725@]130N SILVER EVENING 1
ORANGE,O2 MF,[@2.0.86175868@][1458585713139]/98__O2_MF,Round Barn Road,1,O2 MF,[@2.0.86175868@]ORANGE 32
YELLOW SATURDAY,Y3SA,[@15.0.63192124@][1][1338414280664]/2__Y3SA,Champaign Walmart,0,Y3SA,[@14.0.57766396@]100N
ILLINI LIMITED SUNDAY,I2 NON UI SU,[@6.0.14330187@][1][1622252763821]/7__I2_NON_UI_SU,Lincoln & Killarney,0,I2 NON UI SU,[@6.0.14330187@]6
TEAL,T3 UIMF,[@6.0.28930857@][32][1653600112238]/50__T3_UIMF,Illinois Terminal,1,T3 UIMF,TEAL 23
SILVER,SV4 NON UI SCH,[@6.0.28932250@][2][1654525478258]/26__SV4_NON_UI_SCH,PAR,1,SV4 NON UI SCH,SILVER 120
GREY SUNDAY,GN1 SU,[@2.0.85633657@][31][1463430303388]/27__GN1_SU,Lincoln Square - Urbana Walmart,0,GN1 SU,70E-WKND
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/75__SV1_NONUISU,Transit Plaza,1,SV1 NONUISU,[@124.0.92241454@]7
TEAL SUNDAY,T2 UISU,[@124.0.92229742@][1484323714302]/115__T2_UISU,Illinois Terminal,1,T2 UISU,[@124.0.92229742@]TEAL WEEKEND 16
LAVENDER SATURDAY,L2SA,[@15.0.63188981@][2][1334072041692]/22__L2SA,Illinois Terminal,1,L2SA,30SBB->IT
ILLINI LIMITED EVENING SATURDAY,I2  NONUISA,[@6.0.14330915@][2][1622384801956]/29__I2__NONUISA,Transit Plaza,1,I2  NONUISA,[@124.0.92348983@]ILLINI 845 315
ILLINI LIMITED EVENING,I1 NONUIMF,[@6.0.14328849@][1][1622466962641]/5__I1_NONUIMF,Lincoln & Killarney,0,I1 NONUIMF,22N 316
1N YELLOW ALT,1N #2 SHOW K12 Early Out,[@6.0.28928809@][1][1657995320865]/19__1N_#2_SHOW_K12_Early_Out,Newton & Nobel,0,1N #2 SHOW K12 Early Out,[@6.0.4563144@]4
ILLINI EVENING SUNDAY,I3 UI SU,[@6.0.28932555@][2][1654268623950]/42__I3_UI_SU,PAR,1,I3 UI SU,[@124.0.92263401@]220S ILLINI 20
LAVENDER SUNDAY,L2 SU,[@15.0.71205318@][1381241976567]/40__L2_SU,Champaign Walmart,0,L2 SU,[@15.0.71205318@]30NIT->BB
RED,R1 MF,[@14.0.56288404@][1][1302720941921]/4__R1_MF,Market Place,0,R1 MF,RED 1
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/53__SV1_NONUISU,Lincoln Square,0,SV1 NONUISU,[@124.0.92241454@]4
SILVER SATURDAY,SV1-1 UISA,[@12.0.44184681@][1250945403296]/74__SV1-1_UISA,Lincoln Square,0,SV1-1 UISA,130N SILVER WEEKEND 2
BLUE,B3 SCHMF,[@14.0.56288268@][3][1302634831873]/7__B3_SCHMF,Illinois Terminal,0,B3 SCHMF,BLUE 51
GREEN LATE NIGHT SUNDAY,GR3 UISU,[@124.0.92345918@][1484579847669]/19__GR3_UISU,Illinois Terminal,1,GR3 UISU,[@124.0.92345918@]50W-LATE
TEAL SATURDAY,T2 UISA,[@12.0.44194660@][1250946648828]/150__T2_UISA,Orchard Downs,0,T2 UISA,12E TEAL WEEKEND 13
TEAL LATE NIGHT SUNDAY,T2 UISU,[@124.0.92276155@][1484344792164]/41__T2_UISU,Orchard Downs,0,T2 UISU,[@124.0.92276155@]120E TEAL LATE 13
GREEN LATE NIGHT SATURDAY,GN3  UISA,[@124.0.92344750@][1484579800344]/11__GN3__UISA,Illinois Terminal,1,GN3  UISA,[@124.0.92344750@]50W-LATE
ILLINI EVENING SATURDAY,I2 UI SA,[@6.0.28931507@][2][1654195247124]/46__I2_UI_SA,PAR,1,I2 UI SA,[@124.0.92260187@]220S ILLINI 20
TEAL EVENING SATURDAY,T2 NONUI SA,[@124.0.92279199@][1484345597711]/25__T2_NONUI_SA,Orchard Downs,0,T2 NONUI SA,[@124.0.92279199@]TEAL EVENING 13
GREY,GR3 UIMF,[@2.0.80545657@][32][1425488265338]/22__GR3_UIMF,Parkland College,1,GR3 UIMF,7W
LAVENDER ALT,B4 SCH MTTF Reg Dismiss,[@6.0.14329207@][1][1623768921232]/0__B4_SCH_MTTF_Reg_Dismiss,Ashland Park,0,B4 SCH MTTF Reg Dismiss,[@2.0.84876422@]LAVENDER 1425
TEAL SUNDAY,T2 UISU,[@124.0.92229742@][1484323714302]/67__T2_UISU,Illinois Terminal,1,T2 UISU,[@124.0.92229742@]TEAL WEEKEND 45
YELLOWHOPPER,Y8 UIMF,[@6.0.14331263@][2][1622139849262]/45__Y8_UIMF,Lot E-14,1,Y8 UIMF,YELLOWHOPPER 26
SILVER,SV4 NON UI SCH,[@6.0.28932250@][1][1654525562862]/40__SV4_NON_UI_SCH,PAR,0,SV4 NON UI SCH,[@6.0.28932250@]1
ILLINI LIMITED SATURDAY,I2 UI SA,[@6.0.14330204@][2][1622384445965]/37__I2_UI_SA,ARC,1,I2 UI SA,ILLINI LIMITED WEEKEND 845
RED,R1 MF,[@14.0.56288404@][2][1302789028390]/12__R1_MF,Lincoln Square,1,R1 MF,RED 6
ORANGE,GN7 UI MTH,[@2.0.86175868@][1458585713139]/18__GN7_UI_MTH,Lincoln Square - US 150 & Dodson,0,GN7 UI MTH,[@2.0.86175868@]19
GREEN SATURDAY,GR2SA,GN3SAT012__GR2SA,Orchard Downs,0,GR2SA,50E->PC
ILLINI LIMITED SATURDAY,I2  NONUISA,[@6.0.14330204@][2][1622384445965]/61__I2__NONUISA,ARC,1,I2  NONUISA,ILLINI LIMITED WEEKEND 845
TEAL,T2 UIMF,[@6.0.28930857@][31][1653492328348]/23__T2_UIMF,PAR,0,T2 UIMF,[@15.0.79613563@]47
GREENHOPPER EVENING SATURDAY,GN2 NONUISA,[@7.0.42019048@][1245177724421]/73__GN2_NONUISA,Sunnycrest,0,GN2 NONUISA,50E HOPPER 102
SILVER,SV4 UI SCH MTH,[@6.0.28932250@][1][1654214032262]/78__SV4_UI_SCH_MTH,Lincoln Square,0,SV4 UI SCH MTH,[@6.0.28932250@]1
SILVER EVENING SUNDAY,SV2 UISU,[@124.0.92286725@][1484347296458]/127__SV2_UISU,Lincoln Square,0,SV2 UISU,[@124.0.92286725@]130N SILVER EVENING 2
YELLOW LATE NIGHT,T1 UIF,[@7.0.41201803@][1][1254144787718]/0__T1_UIF,Illinois Terminal,0,T1 UIF,100N-LATE
TEAL,T1 NON UI MF,[@7.0.41893871@][4][1243540851671]/23__T1_NON_UI_MF,Illinois Terminal,1,T1 NON UI MF,12W TEAL 12
PINK,P2 MF SCH,[@2.0.81838518@][12][1430161301181]/20__P2_MF_SCH,Round Barn Road,1,P2 MF SCH,[@2.0.81838518@]103
BROWN,BA2 NOSCHMF,[@2.0.80548152@][11][1425506589356]/5__BA2_NOSCHMF,Parkland College,0,BA2 NOSCHMF,[@15.0.61662606@]1
GOLD,G5 NON UI MF,[@6.0.28929634@][31][1653489271634]/2__G5_NON_UI_MF,Illini Union,0,G5 NON UI MF,[@6.0.28929634@]1
ILLINI LIMITED SATURDAY,I1 UI SA,[@6.0.14330204@][1][1622384291845]/20__I1_UI_SA,Lincoln & Killarney,0,I1 UI SA,[@6.0.14330204@]6
SILVER LIMITED EVENING SATURDAY,SV1 NONUISA,[@124.0.92350475@][1484580809807]/62__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@124.0.92350475@]2
ILLINI EVENING SUNDAY,I5 UI SU,[@6.0.28932555@][2][1654268532247]/34__I5_UI_SU,PAR,1,I5 UI SU,[@124.0.92263401@]220S ILLINI 20
ILLINI,I1 UIF,[@6.0.28930998@][2][1654023658965]/82__I1_UIF,PAR,1,I1 UIF,22S ILLINI 20
GREEN EVENING SATURDAY,GN3 NONUISA,[@124.0.92311676@][1484576395235]/0__GN3_NONUISA,Urbana Meijer,0,GN3 NONUISA,[@124.0.92311676@]32
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/28__SV2_UISA,Vet-Med,1,SV2 UISA,[@124.0.92284627@]130S SILVER EVENING 3
LAVENDER SATURDAY,L2SA,[@15.0.63188981@][1][1334071343101]/0__L2SA,Champaign Walmart,0,L2SA,30NIT->BB
GREEN SATURDAY,GN1SA,GN4SAT012__GN1SA,Orchard Downs,0,GN1SA,50E->PC
YELLOW LATE NIGHT SATURDAY,Y2 UISA,[@124.0.92327957@][1484578220911]/12__Y2_UISA,Champaign Meijer,0,Y2 UISA,[@124.0.92327957@]100 LATE 5
BRONZE,BZ2 NOSCHMF,[@2.0.80546279@][31][1430402819431]/0__BZ2_NOSCHMF,Yankee Ridge - Lincoln Square,0,BZ2 NOSCHMF,[@2.0.80546279@]243
GREEN EVENING SATURDAY,GN2 NONUISA,[@124.0.92311676@][1484576395235]/5__GN2_NONUISA,Round Barn Road,1,GN2 NONUISA,[@124.0.92311676@]71
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/71__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
GREY ALT,7W#2 SHOW WED,[@2.0.84907145@][1455575595497]/66__7W#2_SHOW_WED,Bradley & Romine,1,7W#2 SHOW WED,[@2.0.84907145@]7W UHS 216
GREEN LATE NIGHT,GN7 UI F,8GN526__GN7_UI_F,Illinois Terminal,1,GN7 UI F,50WLTNT->
GREY EVENING,GR1 MF NOSCH,[@124.0.143437300@][31][1591367476839]/1__GR1_MF_NOSCH,Main & Route 150,0,GR1 MF NOSCH,[@124.0.143437300@]401
GREEN SATURDAY,GN2 NONUISA,GN5SAT018__GN2_NONUISA,Orchard Downs,0,GN2 NONUISA,50E->PC
GREENHOPPER EVENING SATURDAY,GN5SA (+GN4 11:11),[@15.0.63189208@][4][1344867514827]/0__GN5SA_(+GN4_11:11),Round Barn Road,1,GN5SA (+GN4 11:11),[@15.0.63189208@]3
ILLINI EVENING SUNDAY,I4 UI SU,[@6.0.28932555@][2][1654268703998]/48__I4_UI_SU,PAR,1,I4 UI SU,[@124.0.92263401@]220S ILLINI 20
TEAL SATURDAY,T2 UISA,[@12.0.44194660@][1250946648828]/148__T2_UISA,Orchard Downs,0,T2 UISA,12E TEAL WEEKEND 13
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][2][1363728725942]/98__SV2_NON_UI,Transit Plaza,1,SV2 NON UI,[@15.0.67924657@]7
LAVENDER,L1 MF,[@15.0.63192662@][2][1334601316770]/18__L1_MF,Illinois Terminal,1,L1 MF,LAVENDER 2
LAVENDER,L2 NOSCH MF,[@15.0.63192662@][2][1334601427303]/19__L2_NOSCH_MF,Illinois Terminal,1,L2 NOSCH MF,LAVENDER 2
YELLOW SUNDAY,Y1 SU,[@124.0.92236898@][1484325332995]/38__Y1_SU,Champaign Walmart,0,Y1 SU,[@124.0.92236898@]100N
TEAL EVENING SATURDAY,T1 UISA,[@124.0.92279199@][1484345597711]/44__T1_UISA,Illinois Terminal,1,T1 UISA,[@124.0.92279199@]TEAL EVENING 12
SILVER,SV2 UIMF,[@6.0.28932250@][2][1654215198541]/106__SV2_UIMF,PAR,1,SV2 UIMF,SILVER 120
GREEN,GN5 MF,[@14.0.46304650@][3][1270562186406]/2__GN5_MF,Main & Brady,0,GN5 MF,[@15.0.68508734@]48
5E GREEN EXPRESS 1 ALT,GNX1 SHOW MTTF,[@36.0.28512759@][3][1175211123269]/8__GNX1_SHOW_MTTF,Harris & Harvard,0,GNX1 SHOW MTTF,5E EXP 1 ALT
LAVENDER SATURDAY,L1SA,[@15.0.63188981@][1][1334071396320]/16__L1SA,Champaign Walmart,0,L1SA,30NIT->BB
GREEN ALT,I8 4S SCH WED,[@2.0.84887452@][1455575490653]/64__I8_4S_SCH_WED,Country Squire,0,I8 4S SCH WED,[@2.0.84887452@]GREEN 336
GREEN LATE NIGHT,GN7 UI F,8GN527__GN7_UI_F,Lincoln Square,0,GN7 UI F,50ELTNT->
GREY,GR2 MF,[@2.0.80545657@][32][1425489629219]/36__GR2_MF,Parkland College,1,GR2 MF,7W
ILLINI EVENING SATURDAY,I1 UI SA,[@6.0.28931507@][1][1654194398119]/23__I1_UI_SA,Lincoln & Killarney,0,I1 UI SA,[@124.0.92260187@]220N ILLINI 10
ILLINI LIMITED SATURDAY,I1 NONUISA,[@6.0.14330204@][1][1622819027382]/1__I1_NONUISA,Lincoln & Killarney,0,I1 NONUISA,[@2.0.85633607@]5
TEAL,T2 UIMF,[@6.0.28930857@][31][1653492328348]/25__T2_UIMF,PAR,0,T2 UIMF,[@15.0.79613563@]47
ILLINI EVENING SATURDAY,I4 UI SA,[@6.0.28931507@][2][1654195636122]/64__I4_UI_SA,PAR,1,I4 UI SA,[@124.0.92260187@]220S ILLINI 20
TEAL EVENING,T3 NON UI MF,[@7.0.41903462@][4][1243545628328]/2__T3_NON_UI_MF,Illinois Terminal,1,T3 NON UI MF,TEAL EVENING 12
SILVER LIMITED EVENING SATURDAY,SV1 NONUISA,[@124.0.92350475@][1484580809807]/54__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@124.0.92350475@]2
ILLINI LIMITED SUNDAY,I1 SU,[@6.0.14330187@][2][1622253008700]/45__I1_SU,ARC,1,I1 SU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
GREY,GR2 MF,[@2.0.80545657@][31][1425487417760]/9__GR2_MF,Urbana Walmart,0,GR2 MF,7E->LSG
LAVENDER SATURDAY,L2SA,[@15.0.63188981@][1][1334071396320]/19__L2SA,Champaign Walmart,0,L2SA,30NIT->BB
YELLOWHOPPER,Y8 UIMF,[@6.0.14331263@][1][1622139626848]/21__Y8_UIMF,Illinois Terminal,0,Y8 UIMF,YELLOWHOPPER 23
TEAL,T1 UIF,[@6.0.28930857@][31][1653491393366]/3__T1_UIF,Orchard Downs,0,T1 UIF,12E TEAL 13
TEAL SUNDAY,T2  NONUISU,[@124.0.92229742@][1484323714302]/70__T2__NONUISU,Illinois Terminal,1,T2  NONUISU,[@124.0.92229742@]TEAL WEEKEND 16
SILVER,SV4 NON UI SCH,[@6.0.28932250@][2][1654525478258]/31__SV4_NON_UI_SCH,PAR,1,SV4 NON UI SCH,SILVER 120
LAVENDER SATURDAY,L1SA,[@15.0.63188981@][1][1334071343101]/3__L1SA,Champaign Walmart,0,L1SA,30NIT->BB
SILVER,SV2 UIMF,[@6.0.28932250@][2][1654215307504]/135__SV2_UIMF,PAR,1,SV2 UIMF,SILVER 42
GREEN EVENING,GNX5 MF,[@7.0.41201218@][4][1243955118234]/23__GNX5_MF,Round Barn Road - Parkland College,1,GNX5 MF,50W GREEN 55
PINK,P2 NOSCH MF,[@2.0.81838518@][12][1430161301181]/25__P2_NOSCH_MF,Round Barn Road,1,P2 NOSCH MF,[@2.0.81838518@]103
ILLINI LIMITED SATURDAY,I1 UI SA,[@6.0.14330204@][2][1622384445965]/52__I1_UI_SA,ARC,1,I1 UI SA,ILLINI LIMITED WEEKEND 845
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/79__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
ORANGEHOPPER,O2 MF,[@14.0.52435578@][3][1275675740468]/35__O2_MF,University & Cottage Grove,0,O2 MF,[@15.0.68513410@]21
BROWN ALT PM,9A SHOW PM WED,[@15.0.61734120@][10][1328801953874]/1__9A_SHOW_PM_WED,Devonshire Express,0,9A SHOW PM WED,[@15.0.61734120@]240
TEAL,T3 UIMF,[@6.0.28930857@][32][1653600112238]/52__T3_UIMF,Illinois Terminal,1,T3 UIMF,TEAL 23
ILLINI LIMITED SATURDAY,I1 UI SA,[@6.0.14330204@][2][1622384445965]/40__I1_UI_SA,ARC,1,I1 UI SA,ILLINI LIMITED WEEKEND 845
GREY SUNDAY,GN1 SU,[@2.0.85633657@][31][1463430303388]/19__GN1_SU,Lincoln Square - Urbana Walmart,0,GN1 SU,70E-WKND
GOLD,G5 NON UI MF,[@6.0.28929634@][32][1656539433741]/3__G5_NON_UI_MF,Mattis & Devonshire,1,G5 NON UI MF,[@6.0.28929634@]99
GOLD,G5 NON UI MF,[@6.0.28929634@][32][1653684547894]/66__G5_NON_UI_MF,Mattis & Devonshire,1,G5 NON UI MF,GOLD 425
ILLINI EVENING,I4  UIF LATE,[@6.0.28928828@][1][1654090261847]/3__I4__UIF_LATE,Lincoln & Killarney,0,I4  UIF LATE,220N ILLINI 10
ORANGE,O2 MF,[@2.0.86175868@][1458585713139]/4__O2_MF,Lincoln Square - US 150 & Dodson,0,O2 MF,[@2.0.86175868@]ORANGE 13
YELLOW LATE NIGHT,Y2  UIMF,[@7.0.38114521@][1][1214492461671]/4__Y2__UIMF,Champaign Meijer,0,Y2  UIMF,100 LATE 5
TEAL,T3 NON UI MF,[@7.0.41893871@][3][1243541396687]/98__T3_NON_UI_MF,Orchard Downs,0,T3 NON UI MF,12E TEAL 13
RED,R5 MF,[@14.0.56288404@][2][1305744039868]/0__R5_MF,Lincoln Square,1,R5 MF,[@14.0.56288404@]21
YELLOW LATE NIGHT SATURDAY,Y2 UISA,[@124.0.92327957@][1484578220911]/66__Y2_UISA,Lot E-14,1,Y2 UISA,[@124.0.92327957@]100 LATE 3
RUBY SATURDAY,RUB1 SA,[@15.0.64657075@][1339528341508]/8__RUB1_SA,Lincoln Square,1,RUB1 SA,[@15.0.64657075@]2
5W GREEN ALT 2,ORANGE_GREEN,[@36.0.28512376@][3][1175211427003]/21__ORANGE__GREEN,Fairlawn & Vine,0,ORANGE_GREEN,7E ALT 2
ILLINI LIMITED SUNDAY,I2  UI SU,[@6.0.14330187@][1][1622252763821]/15__I2__UI_SU,Lincoln & Killarney,0,I2  UI SU,[@6.0.14330187@]6
GREEN,GN6 NOSCHMF,[@7.0.38114548@][4][1219679573406]/1__GN6_NOSCHMF,Sixth & Pennsylvania,1,GN6 NOSCHMF,[@15.0.63192321@]25
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][2][1363721613441]/2__SV1_NONUISA,Transit Plaza,1,SV1 NONUISA,[@15.0.67916770@]3
RUBY,RUB2  NOSCH,[@15.0.64600293@][1][1339519267236]/10__RUB2__NOSCH,Airport & Cunningham,0,RUB2  NOSCH,[@15.0.64600293@]1
YELLOW EVENING SATURDAY,Y1 UISA,[@124.0.92247832@][1484327725398]/44__Y1_UISA,Champaign Walmart,0,Y1 UISA,[@124.0.92247832@]100NIT->
BLUE,B2 MF,[@14.0.56288268@][3][1302633224108]/0__B2_MF,Illinois Terminal,0,B2 MF,BLUE 51
SILVER EVENING SUNDAY,SV1 UISU,[@124.0.92286725@][1484347296458]/75__SV1_UISU,Lincoln Square,0,SV1 UISU,[@124.0.92286725@]130N SILVER EVENING 1
YELLOW,Y4 MF,[@6.0.14329702@][1][1622066410210]/55__Y4_MF,Champaign Walmart,0,Y4 MF,[@15.0.63189004@]23
SILVER SATURDAY,SV1-1 UISA,[@12.0.44184681@][1250945403296]/80__SV1-1_UISA,Lincoln Square,0,SV1-1 UISA,130N SILVER WEEKEND 2
GREEN EVENING SATURDAY,GN3 NONUISA,[@124.0.92311676@][1484576395235]/2__GN3_NONUISA,Round Barn Road,1,GN3 NONUISA,[@124.0.92311676@]71
ORANGE,O1 MF,[@2.0.86175868@][1458585713139]/55__O1_MF,Round Barn Road,1,O1 MF,[@2.0.86175868@]25
GREEN EXPRESS ALT,5W #1 SHOW HS Early Out,[@6.0.28930669@][32][1659292374822]/16__5W_#1_SHOW_HS_Early_Out,Rolling Acres,1,5W #1 SHOW HS Early Out,[@2.0.84953216@]GREEN EX 1425
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/149__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 1
GREEN,GN3 SCH W,3GN306__GN3_SCH_W,Road Barn Road,0,GN3 SCH W,5ETOCF
YELLOW EVENING,Y5  NONUI MF,[@15.0.63189138@][2][1338410124117]/3__Y5__NONUI_MF,Savoy Walmart,1,Y5  NONUI MF,[@15.0.63189138@]10
SILVER,SV4 UI SCH MTH,[@6.0.28932250@][2][1654215235685]/125__SV4_UI_SCH_MTH,PAR,1,SV4 UI SCH MTH,SILVER 120
GREENHOPPER,GNX5 MF,[@7.0.41101146@][3][1237929928359]/4__GNX5_MF,Washington & Lierman,0,GNX5 MF,5E HOPPER 79
TEAL,T1 UIF,[@6.0.28930857@][31][1653075321515]/4__T1_UIF,PAR,0,T1 UIF,[@15.0.79613563@]47
YELLOW LATE NIGHT,T1 UIF,[@7.0.41201803@][2][1254145022937]/7__T1_UIF,Lot E-14,1,T1 UIF,100 LATE 3
ILLINI EVENING SUNDAY,I3 UI SU,[@6.0.28932555@][1][1654264480593]/2__I3_UI_SU,Lincoln & Killarney,0,I3 UI SU,[@124.0.92263401@]220N ILLINI 10
BRONZE,SV1 UI MF,[@6.0.28932481@][32][1656445947563]/0__SV1_UI_MF,Orchard Downs,1,SV1 UI MF,8W
ILLINI EVENING,I4 UI M-TH,[@6.0.28928828@][2][1654115600110]/1__I4_UI_M-TH,PAR,1,I4 UI M-TH,220S ILLINI 20
ORANGE,GN7 NON UI,[@2.0.86175868@][1458585713139]/110__GN7_NON_UI,Lincoln Square - US 150 & Dodson,0,GN7 NON UI,[@2.0.86175868@]27
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/38__SV1_NONUISU,Lincoln Square,0,SV1 NONUISU,[@124.0.92241454@]4
LIME EVENING,LM2 MF,[@6.0.14329934@][12][1622652073279]/0__LM2_MF,YMCA,1,LM2 MF,[@15.0.73008754@]38
ILLINI,I5  UIF,[@6.0.28930998@][1][1654019163045]/45__I5__UIF,Lincoln & Killarney,0,I5  UIF,22N ILLINI 10
GREEN LATE NIGHT,GN7 UI MTH,[@7.0.38112640@][4][1219153573468]/8__GN7_UI_MTH,Illinois Terminal,1,GN7 UI MTH,50WLTNT->
SILVER,SV4 NON UI  NOSCH,[@6.0.28932250@][2][1654525478258]/31__SV4_NON_UI__NOSCH,PAR,1,SV4 NON UI  NOSCH,SILVER 120
ILLINI,I5 UI M-TH,[@6.0.28930998@][1][1654019163045]/46__I5_UI_M-TH,Lincoln & Killarney,0,I5 UI M-TH,22N ILLINI 10
ILLINI,I4 UIF,[@6.0.28930998@][1][1654018642008]/31__I4_UIF,Lincoln & Killarney,0,I4 UIF,22N ILLINI 10
ILLINI,I5  UIF,[@6.0.28930998@][2][1654023280185]/75__I5__UIF,PAR,1,I5  UIF,22S ILLINI 20
GREY,GR1 MF NOSCH,[@15.0.68512430@][3][1368049248744]/19__GR1_MF_NOSCH,Urbana Walmart,0,GR1 MF NOSCH,7E->LSG
GOLD,G3 NON UI MF,[@6.0.28929634@][31][1653676499960]/4__G3_NON_UI_MF,Lincoln Square,0,G3 NON UI MF,[@6.0.28929634@]180
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][2][1363728725942]/86__SV2_NON_UI,Transit Plaza,1,SV2 NON UI,[@15.0.67924657@]7
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/145__T1_UISA,Orchard Downs,0,T1 UISA,12E TEAL WEEKEND 13
NAVY,N2 MF,[@124.0.103534744@][31][1510337336593]/2__N2_MF,Illinois Terminal,0,N2 MF,[@124.0.103534744@]NAVY 1
YELLOW EVENING,Y3 MF,[@15.0.63189138@][2][1338407799588]/13__Y3_MF,Savoy Walmart,1,Y3 MF,100S
ILLINI LIMITED SATURDAY,I2 UI SA,[@6.0.14330204@][1][1622384291845]/31__I2_UI_SA,Lincoln & Killarney,0,I2 UI SA,[@6.0.14330204@]6
SILVER EVENING SUNDAY,SV1 UISU,[@124.0.92286725@][1484347296458]/20__SV1_UISU,Vet-Med,1,SV1 UISU,[@124.0.92286725@]130S SILVER EVENING 3
TEAL,T3 UIMF,[@6.0.28930857@][32][1653600112238]/47__T3_UIMF,Illinois Terminal,1,T3 UIMF,TEAL 23
GREEN LATE NIGHT SUNDAY,GR3 UISU,[@124.0.92345918@][1484579847669]/20__GR3_UISU,Illinois Terminal,1,GR3 UISU,[@124.0.92345918@]50W-LATE
GREEN LATE NIGHT SATURDAY,GN3  UISA,[@124.0.92344750@][1484579800344]/41__GN3__UISA,Illinois Terminal,1,GN3  UISA,[@124.0.92344750@]50WLTNT->
SILVER,SV1 UI MF,[@6.0.28932250@][1][1654213811517]/44__SV1_UI_MF,Lincoln Square,0,SV1 UI MF,[@6.0.28932250@]1
GREEN EXPRESS,9A SHOW HS Early Out,[@6.0.28930500@][32][1659381671250]/2__9A_SHOW_HS_Early_Out,Curtis & Wynstone,1,9A SHOW HS Early Out,[@6.0.28930500@]22
GREEN,GN2 MF,[@14.0.51573013@][3][1283973194312]/0__GN2_MF,Main & Brady,0,GN2 MF,GREEN 893
TEAL,T3 UIMF,[@6.0.28930857@][32][1653600112238]/46__T3_UIMF,Illinois Terminal,1,T3 UIMF,TEAL 23
GREEN SATURDAY,GR4SA,GN2SAT020__GR4SA,Orchard Downs,0,GR4SA,50E->PC
GREENHOPPER,GNX5 MF,[@7.0.41101146@][3][1237931450218]/4__GNX5_MF,Washington & Lierman,0,GNX5 MF,5E HOPPER 79
ILLINI EVENING,I2 UI-MTH,[@6.0.28928828@][2][1654091820565]/12__I2_UI-MTH,PAR,1,I2 UI-MTH,220S ILLINI 20
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622151942711]/58__I1_NONUIMF,ARC,1,I1 NONUIMF,ILLINI 845
ILLINI LIMITED SATURDAY,I2 UI SA,[@6.0.14330204@][2][1622384378665]/33__I2_UI_SA,ARC,1,I2 UI SA,ILLINI LIMITED WEEKEND 845
BROWN,BB1 MF,[@15.0.61662606@][20][1329164548772]/34__BB1_MF,Round Barn Road,1,BB1 MF,[@15.0.61662606@]754
YELLOW SUNDAY,Y3 SU,[@124.0.92236898@][1484325332995]/21__Y3_SU,Champaign Walmart,0,Y3 SU,[@124.0.92236898@]100N
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/84__SV1_NONUISU,Transit Plaza,1,SV1 NONUISU,[@124.0.92241454@]7
ILLINI LIMITED SATURDAY,I2  NONUISA,[@6.0.14330204@][2][1622384445965]/65__I2__NONUISA,ARC,1,I2  NONUISA,ILLINI LIMITED WEEKEND 845
ILLINI EVENING SUNDAY,I4 UI SU,[@6.0.28932555@][1][1654264622423]/11__I4_UI_SU,Lincoln & Killarney,0,I4 UI SU,[@124.0.92263401@]220N ILLINI 10
LAVENDER SATURDAY,L2SA,[@15.0.63188981@][2][1334072086256]/38__L2SA,Illinois Terminal,1,L2SA,30SBB->IT
YELLOW SATURDAY,Y2 NONUI SA,[@15.0.63192124@][1][1342109289752]/4__Y2_NONUI_SA,Champaign Walmart,0,Y2 NONUI SA,[@14.0.57766396@]Y1SATPO
ILLINI EVENING,I1 UIF,[@6.0.28928828@][1][1654028127367]/0__I1_UIF,Lincoln & Killarney,0,I1 UIF,220N ILLINI 10
GREEN LATE NIGHT,GN7 UI F,3GR799__GN7_UI_F,Lincoln Square,0,GN7 UI F,50ELTNT->
BLUE,B2 MF,[@14.0.56288268@][3][1303411548303]/0__B2_MF,Illinois Terminal,0,B2 MF,BLUE 51
